customer_id,age,gender,income,spending_score,membership_years,previous_purchases,avg_order_value,last_purchase_days,product_category_preference,communication_channel,satisfaction_score,can_upsell,can_crosssell,will_buy_premium,will_buy_accessories,will_buy_warranty,will_buy_subscription
CUST_000001,58,Male,43278,67,8,17,87,36,Clothing,SMS,7,1,1,0,1,0,0
CUST_000002,23,Male,40247,52,0,4,80,333,Toys,SMS,4,0,0,0,0,0,0
CUST_000003,18,Male,52696,61,8,14,210,87,Clothing,App,8,1,1,0,1,1,1
CUST_000004,56,Female,45695,66,14,27,61,97,Clothing,SMS,9,1,1,0,1,0,0
CUST_000005,41,Male,137349,64,1,8,248,41,Home,Email,8,1,1,1,0,1,1
CUST_000006,41,Male,93520,72,6,62,473,180,Clothing,Phone,8,1,1,1,1,1,0
CUST_000007,47,Female,80382,90,7,63,532,15,Home,Email,9,1,1,1,0,1,1
CUST_000008,54,Female,67869,71,12,76,334,37,Sports,Phone,8,1,1,0,0,1,0
CUST_000009,65,Female,116484,85,11,34,341,131,Health,Phone,7,1,0,1,0,1,0
CUST_000010,28,Female,74086,54,12,22,339,136,Sports,Email,7,1,1,0,0,1,1
CUST_000011,52,Female,84587,57,9,23,180,117,Electronics,SMS,9,1,1,1,1,0,0
CUST_000012,50,Male,79117,90,6,29,291,42,Toys,SMS,7,1,1,0,0,1,0
CUST_000013,25,Female,89504,69,7,11,223,146,Clothing,App,8,1,1,1,1,1,1
CUST_000014,52,Male,56828,70,5,18,370,156,Automotive,Phone,8,1,1,0,0,1,0
CUST_000015,60,Female,97422,83,14,27,453,58,Clothing,Email,7,1,1,1,1,1,1
CUST_000016,32,Male,39652,65,1,8,47,17,Beauty,Email,9,0,1,0,0,0,1
CUST_000017,31,Male,82405,86,15,35,684,105,Home,Email,7,1,1,1,0,1,1
CUST_000018,44,Female,140561,63,3,11,306,87,Clothing,Email,6,1,1,1,1,0,1
CUST_000019,45,Male,81509,79,7,75,277,114,Toys,Email,7,1,1,1,0,1,1
CUST_000020,18,Male,40491,30,13,16,153,55,Automotive,App,8,0,1,0,0,0,1
CUST_000021,34,Female,53694,67,15,14,197,76,Home,Email,9,1,1,0,0,0,1
CUST_000022,38,Male,51572,77,15,52,371,41,Electronics,Phone,7,1,1,0,1,1,0
CUST_000023,22,Male,51461,47,7,19,182,11,Garden,App,10,1,1,0,0,0,1
CUST_000024,38,Female,71772,70,7,18,302,34,Sports,App,9,1,1,0,0,1,1
CUST_000025,18,Female,31552,24,6,17,97,34,Beauty,App,8,0,1,0,0,0,1
CUST_000026,52,Female,109329,60,9,39,153,35,Sports,Phone,7,1,1,1,0,0,0
CUST_000027,36,Male,139058,81,6,63,470,130,Health,App,7,1,1,1,0,1,1
CUST_000028,35,Male,45464,41,4,9,71,227,Toys,Phone,8,0,0,0,0,0,0
CUST_000029,62,Male,111511,62,11,28,382,38,Automotive,Phone,7,1,1,1,0,1,0
CUST_000030,68,Male,86898,63,7,31,152,91,Toys,Email,8,1,1,1,0,0,1
CUST_000031,28,Male,62020,41,5,11,135,172,Home,SMS,6,0,1,0,0,0,0
CUST_000032,20,Female,39577,32,14,12,108,59,Home,App,6,0,1,0,0,0,1
CUST_000033,22,Female,48012,61,12,31,167,85,Electronics,App,9,1,1,0,1,0,1
CUST_000034,34,Male,42104,58,13,21,110,112,Garden,Phone,7,0,1,0,0,0,0
CUST_000035,34,Male,81450,77,0,4,751,352,Home,App,6,0,1,0,0,0,1
CUST_000036,39,Female,131951,67,9,26,258,171,Automotive,App,10,1,1,1,0,1,1
CUST_000037,30,Female,78576,74,5,29,391,78,Automotive,Phone,7,1,1,0,0,1,0
CUST_000038,68,Female,100946,88,14,63,418,131,Health,SMS,8,1,1,1,0,1,0
CUST_000039,60,Female,52240,55,9,17,201,38,Electronics,Phone,8,1,1,0,1,1,0
CUST_000040,67,Male,99692,76,6,65,593,127,Automotive,Phone,8,1,1,1,0,1,0
CUST_000041,66,Male,95724,64,5,35,365,119,Electronics,SMS,8,1,1,1,1,1,0
CUST_000042,26,Female,78750,83,10,80,326,157,Toys,SMS,10,1,1,0,0,1,0
CUST_000043,48,Female,78972,65,8,34,366,125,Home,App,10,1,1,0,0,1,1
CUST_000044,35,Female,86904,84,2,5,354,119,Automotive,Phone,4,1,0,1,0,0,0
CUST_000045,44,Female,116121,89,13,23,411,108,Automotive,Phone,7,1,1,1,0,1,0
CUST_000046,42,Female,45772,42,9,13,137,138,Toys,Phone,6,0,0,0,0,0,0
CUST_000047,49,Male,95968,71,12,66,369,120,Books,Phone,7,1,1,1,0,1,0
CUST_000048,60,Male,51003,67,4,37,336,47,Electronics,Email,10,1,1,0,1,1,1
CUST_000049,39,Female,81471,76,8,73,283,121,Electronics,Phone,7,1,1,1,1,1,0
CUST_000050,59,Male,45276,68,0,1,81,11,Garden,Phone,4,0,1,0,0,0,0
CUST_000051,54,Male,100952,76,11,30,317,42,Sports,Phone,7,1,1,1,0,1,0
CUST_000052,42,Female,138718,72,2,19,448,27,Sports,Phone,9,1,1,1,0,1,0
CUST_000053,54,Male,85508,84,13,62,579,18,Toys,SMS,9,1,1,1,0,1,0
CUST_000054,49,Male,101822,83,14,65,356,112,Books,Phone,9,1,1,1,0,1,0
CUST_000055,67,Female,100931,87,8,40,451,23,Sports,Email,8,1,1,1,0,1,1
CUST_000056,60,Female,84092,51,15,37,266,47,Health,Phone,9,1,1,1,0,1,0
CUST_000057,56,Female,112848,60,6,12,223,105,Health,SMS,6,1,1,1,0,0,0
CUST_000058,49,Female,148931,61,2,10,213,208,Home,App,9,1,1,1,0,1,1
CUST_000059,40,Female,142771,95,10,42,664,70,Sports,App,8,1,1,1,0,1,1
CUST_000060,25,Male,47552,33,15,9,180,269,Garden,SMS,5,0,0,0,0,0,0
CUST_000061,41,Male,84618,50,4,9,41,28,Toys,App,6,0,1,0,0,0,1
CUST_000062,24,Male,43634,50,15,15,117,48,Electronics,SMS,8,0,1,0,1,0,0
CUST_000063,49,Male,120631,100,1,5,352,289,Sports,Email,4,1,0,1,0,0,0
CUST_000064,56,Male,108494,84,14,78,653,77,Garden,Email,9,1,1,1,0,1,1
CUST_000065,65,Male,67235,80,6,36,141,41,Home,Phone,7,1,1,0,0,0,0
CUST_000066,62,Female,78175,52,7,19,244,180,Health,Phone,8,1,1,0,0,1,0
CUST_000067,58,Male,95723,57,7,30,176,69,Books,Phone,7,1,1,1,0,0,0
CUST_000068,65,Female,97560,57,14,32,255,180,Automotive,Email,10,1,1,1,0,1,1
CUST_000069,45,Female,124129,76,0,0,434,201,Sports,Phone,3,1,0,1,0,0,0
CUST_000070,51,Female,76458,61,13,30,351,24,Health,Email,10,1,1,0,0,1,1
CUST_000071,28,Female,61977,71,9,62,305,141,Electronics,SMS,7,1,1,0,1,1,0
CUST_000072,67,Female,107449,60,14,23,127,49,Toys,Email,10,1,1,1,0,0,1
CUST_000073,31,Female,70993,58,9,24,348,32,Electronics,Phone,8,1,1,0,1,1,0
CUST_000074,18,Female,31108,34,3,15,60,166,Books,SMS,7,0,0,0,0,0,0
CUST_000075,48,Female,76946,79,4,22,197,154,Toys,Phone,8,1,1,0,0,0,0
CUST_000076,68,Female,84548,82,8,72,202,73,Sports,SMS,10,1,1,1,0,1,0
CUST_000077,48,Female,88573,85,12,49,529,49,Home,Phone,10,1,1,1,0,1,0
CUST_000078,20,Female,55996,64,12,31,177,127,Electronics,App,9,1,1,0,1,0,1
CUST_000079,46,Male,113937,89,0,5,347,210,Books,Email,6,1,0,1,0,0,0
CUST_000080,57,Female,50527,61,12,40,262,161,Health,SMS,7,1,0,0,0,1,0
CUST_000081,61,Female,69817,45,13,4,192,361,Clothing,Email,4,0,1,0,1,0,1
CUST_000082,20,Female,28677,38,11,12,140,38,Home,Email,8,0,1,0,0,0,1
CUST_000083,28,Male,40175,59,12,29,91,128,Garden,App,8,0,1,0,0,0,1
CUST_000084,34,Male,87732,79,9,63,759,41,Clothing,App,9,1,1,1,1,1,1
CUST_000085,45,Female,104878,79,6,44,694,28,Home,App,9,1,1,1,0,1,1
CUST_000086,36,Male,131275,85,8,20,779,176,Electronics,Phone,10,1,1,1,1,1,0
CUST_000087,67,Male,119569,82,7,60,394,159,Sports,SMS,8,1,1,1,0,1,0
CUST_000088,59,Male,80492,78,1,19,573,34,Clothing,Email,7,1,1,1,1,1,1
CUST_000089,26,Female,69789,72,8,73,184,66,Health,SMS,9,1,1,0,0,0,0
CUST_000090,22,Male,39785,63,12,40,172,94,Clothing,SMS,7,0,1,0,1,0,0
CUST_000091,41,Female,121619,84,11,26,439,121,Electronics,Phone,9,1,1,1,1,1,0
CUST_000092,22,Female,44804,61,13,13,65,12,Electronics,SMS,8,1,1,0,1,0,0
CUST_000093,52,Male,90940,79,11,62,753,108,Garden,SMS,8,1,1,1,0,1,0
CUST_000094,49,Female,81666,52,11,16,327,114,Home,App,7,1,1,1,0,1,1
CUST_000095,59,Female,47936,45,8,7,61,233,Clothing,SMS,6,0,1,0,1,0,0
CUST_000096,19,Male,46856,35,4,19,82,18,Toys,App,8,0,1,0,0,0,1
CUST_000097,67,Male,118116,60,8,37,174,34,Toys,Email,8,1,1,1,0,0,1
CUST_000098,26,Male,58477,55,10,10,189,136,Electronics,App,8,0,1,0,1,0,1
CUST_000099,48,Female,146976,83,3,24,715,57,Garden,Email,9,1,1,1,0,1,1
CUST_000100,19,Male,56390,65,13,31,155,126,Health,App,7,1,1,0,0,0,1
CUST_000101,26,Female,75915,90,10,44,371,76,Health,Email,10,1,1,0,0,1,1
CUST_000102,59,Male,96370,78,7,46,547,117,Automotive,Email,7,1,1,1,0,1,1
CUST_000103,34,Female,45003,63,15,12,53,22,Clothing,App,5,1,1,0,1,0,1
CUST_000104,26,Male,73434,85,10,62,162,106,Beauty,Email,10,1,1,0,0,0,1
CUST_000105,36,Female,91090,56,6,14,346,58,Clothing,App,9,1,1,1,1,1,1
CUST_000106,54,Male,96244,85,0,4,473,15,Books,Email,8,1,1,1,0,1,1
CUST_000107,40,Male,68777,49,12,3,66,325,Electronics,Email,8,0,1,0,1,0,1
CUST_000108,47,Female,65631,63,9,33,266,146,Garden,Email,7,1,1,0,0,1,1
CUST_000109,21,Male,42832,48,13,16,185,114,Automotive,SMS,8,0,1,0,0,0,0
CUST_000110,45,Male,82125,87,15,53,515,12,Home,App,7,1,1,1,0,1,1
CUST_000111,31,Male,85080,66,9,20,161,2,Health,Phone,10,1,1,1,0,0,0
CUST_000112,63,Male,105570,95,11,24,606,11,Automotive,Phone,10,1,1,1,0,1,0
CUST_000113,54,Female,115156,85,13,38,317,104,Electronics,Email,8,1,1,1,1,1,1
CUST_000114,62,Female,51551,67,3,17,323,151,Automotive,SMS,5,0,0,0,0,0,0
CUST_000115,39,Male,88655,60,2,17,158,136,Toys,Email,7,0,1,0,0,0,1
CUST_000116,59,Male,70968,56,4,18,201,45,Garden,Phone,7,0,1,0,0,1,0
CUST_000117,49,Female,143886,96,14,63,778,165,Garden,App,9,1,1,1,0,1,1
CUST_000118,46,Female,149376,77,1,12,719,19,Sports,App,8,1,1,1,0,1,1
CUST_000119,36,Male,129497,65,12,24,397,142,Electronics,App,8,1,1,1,1,1,1
CUST_000120,27,Male,64525,46,10,3,159,331,Books,App,4,0,0,0,0,0,0
CUST_000121,51,Male,87696,73,9,44,618,87,Garden,Phone,9,1,1,1,0,1,0
CUST_000122,61,Female,77243,66,4,20,141,150,Books,Email,9,1,1,0,0,0,1
CUST_000123,43,Male,122993,65,9,27,292,165,Beauty,Email,7,1,1,1,0,1,1
CUST_000124,41,Male,92526,69,5,40,209,88,Health,Email,8,1,1,1,0,1,1
CUST_000125,36,Male,111543,94,1,11,334,153,Automotive,Email,6,1,1,1,0,0,1
CUST_000126,57,Male,97366,52,13,21,221,114,Garden,Email,10,1,1,1,0,1,1
CUST_000127,69,Female,65430,63,14,24,244,98,Toys,SMS,10,1,1,0,0,1,0
CUST_000128,69,Male,72768,53,15,37,290,142,Clothing,SMS,7,1,1,0,1,1,0
CUST_000129,35,Female,112286,69,13,12,213,116,Beauty,Email,8,1,1,1,0,1,1
CUST_000130,33,Female,40348,43,7,1,111,51,Beauty,Email,4,0,1,0,0,0,1
CUST_000131,48,Male,144462,90,14,59,205,21,Electronics,App,8,1,1,1,1,1,1
CUST_000132,64,Female,54573,58,7,19,162,13,Home,Email,10,1,1,0,0,0,1
CUST_000133,49,Male,127831,92,7,65,347,75,Automotive,Email,9,1,1,1,0,1,1
CUST_000134,60,Male,108614,83,2,17,757,130,Toys,SMS,5,1,0,1,0,0,0
CUST_000135,58,Female,88929,66,0,2,134,177,Home,SMS,8,1,1,1,0,0,0
CUST_000136,65,Female,57486,42,11,18,116,165,Books,SMS,10,1,1,0,0,0,0
CUST_000137,29,Male,39135,65,14,11,105,52,Electronics,App,5,0,1,0,1,0,1
CUST_000138,43,Female,78202,52,6,19,282,13,Beauty,App,7,1,1,0,0,1,1
CUST_000139,43,Female,95678,71,5,25,709,95,Toys,App,7,1,1,1,0,1,1
CUST_000140,56,Male,111496,78,10,26,281,84,Sports,Email,10,1,1,1,0,1,1
CUST_000141,62,Female,86077,78,1,12,645,71,Electronics,Phone,8,1,1,1,1,1,0
CUST_000142,61,Male,44081,29,14,2,62,35,Home,SMS,5,0,1,0,0,0,0
CUST_000143,20,Male,54486,63,11,24,139,147,Books,Email,9,1,1,0,0,0,1
CUST_000144,33,Male,36698,67,5,25,162,100,Toys,Email,9,1,1,0,0,0,1
CUST_000145,31,Female,80480,81,6,27,338,19,Health,Email,10,1,1,1,0,1,1
CUST_000146,38,Female,138000,64,9,38,253,41,Books,App,8,1,1,1,0,1,1
CUST_000147,26,Male,86797,81,0,2,767,294,Beauty,SMS,7,1,1,1,0,1,0
CUST_000148,22,Female,51093,70,13,34,309,148,Clothing,App,9,1,1,0,1,1,1
CUST_000149,61,Female,56821,75,5,34,166,111,Toys,Phone,7,1,1,0,0,0,0
CUST_000150,28,Female,81486,64,11,40,365,73,Clothing,SMS,8,1,1,1,1,1,0
CUST_000151,26,Female,75267,84,2,17,186,152,Garden,App,6,1,1,0,0,0,1
CUST_000152,56,Female,113874,62,0,0,123,451,Home,SMS,6,1,0,1,0,0,0
CUST_000153,58,Female,79596,80,7,71,307,77,Health,Phone,7,1,1,0,0,1,0
CUST_000154,47,Male,89589,88,4,20,526,89,Automotive,Email,9,1,1,1,0,1,1
CUST_000155,33,Female,43029,37,14,8,66,50,Electronics,App,8,0,1,0,1,0,1
CUST_000156,28,Female,72859,70,6,34,181,128,Toys,SMS,10,1,1,0,0,0,0
CUST_000157,23,Female,58124,69,7,16,398,91,Electronics,App,9,1,1,0,1,1,1
CUST_000158,59,Female,77453,84,0,0,320,317,Sports,SMS,5,1,0,0,0,0,0
CUST_000159,43,Male,119747,95,6,43,766,74,Clothing,App,10,1,1,1,1,1,1
CUST_000160,57,Male,56864,46,12,12,116,143,Beauty,Phone,6,0,1,0,0,0,0
CUST_000161,20,Male,27550,28,10,16,162,117,Books,Email,8,0,1,0,0,0,1
CUST_000162,28,Female,75402,69,10,26,360,137,Health,Email,9,1,1,0,0,1,1
CUST_000163,39,Male,99596,87,9,70,227,153,Health,App,8,1,1,1,0,1,1
CUST_000164,28,Female,44684,63,7,11,176,180,Clothing,App,5,0,1,0,1,0,1
CUST_000165,44,Male,98788,82,15,75,263,36,Toys,Email,9,1,1,1,0,1,1
CUST_000166,42,Female,67699,69,10,27,281,174,Sports,Phone,10,1,1,0,0,1,0
CUST_000167,53,Female,69473,59,9,32,206,177,Health,Email,10,0,1,0,0,1,1
CUST_000168,68,Female,77721,57,12,38,302,89,Books,Email,7,1,1,0,0,1,1
CUST_000169,40,Female,130979,76,15,33,406,138,Sports,Phone,9,1,1,1,0,1,0
CUST_000170,55,Male,71779,53,7,30,219,14,Clothing,Email,9,1,1,0,1,1,1
CUST_000171,67,Male,40679,55,5,23,197,122,Health,SMS,8,0,1,0,0,0,0
CUST_000172,36,Male,145758,65,7,27,119,45,Automotive,Email,7,1,1,1,0,0,1
CUST_000173,49,Male,143173,78,1,1,505,291,Garden,Email,5,1,0,1,0,0,0
CUST_000174,52,Female,57589,72,14,37,198,29,Beauty,Phone,10,1,1,0,0,0,0
CUST_000175,18,Female,44334,56,6,15,186,164,Automotive,SMS,9,0,1,0,0,0,0
CUST_000176,24,Male,34215,50,10,8,31,134,Automotive,App,8,0,1,0,0,0,1
CUST_000177,37,Male,79282,73,7,23,160,120,Sports,Email,10,1,1,0,0,0,1
CUST_000178,63,Female,55389,80,9,43,213,57,Books,Email,8,1,1,0,0,1,1
CUST_000179,41,Female,137004,95,15,68,750,171,Home,Email,7,1,1,1,0,1,1
CUST_000180,41,Male,118946,67,1,18,358,52,Garden,Phone,6,1,1,1,0,0,0
CUST_000181,46,Male,134167,73,15,25,722,115,Electronics,App,8,1,1,1,1,1,1
CUST_000182,21,Female,45196,66,0,3,95,2,Home,Email,3,0,1,0,0,0,1
CUST_000183,22,Male,29523,50,1,10,134,93,Books,Email,8,0,1,0,0,0,1
CUST_000184,46,Female,94236,55,4,30,278,31,Books,Phone,10,1,1,1,0,1,0
CUST_000185,32,Male,84556,51,9,24,378,109,Toys,App,8,0,1,0,0,1,1
CUST_000186,35,Male,140030,67,1,14,108,62,Home,Email,5,1,1,1,0,0,1
